device_id,ts,ignition,odometer_km
D2021,15/05/2026 14:00,ON,28727.0
D2028,2026-05-20T15:23:00,ON,47030.1
D2021,13/05/2026 11:38,ON,28638.4
D2023,15-May-2026 09:38:00,ON,76896.7
D2011,24/05/2026 08:45,OFF,
D2027,2026-05-12T15:15:00,ON,63284.1
D2018,01-May-2026 07:52:00,ON,77047.5
D2004,12-May-2026 12:38:00,ON,32709.2
D2021,30/05/2026 13:07,ON,29309.0
D9001,2026-05-13T15:38:00,on,11873.8
D2009,03/05/2026 13:52,ON,52946.5
D2023,15-May-2026 07:45:00,ON,76891.9
D2012,15/05/2026 17:38,ON,57245.2
D2018,26-May-2026 09:52:00,ON,78638.8
D2018,02-May-2026 08:07:00,ON,77115.7
D2023,28-May-2026 08:23:00,ON,77208.4
D2017,19/05/2026 07:52,ON,71817.4
D2016,2026-05-21T13:15:00,ON,35101.8
D2006,08-May-2026 14:15:00,ON,59035.5
D2025,19/05/2026 12:45,ON,78669.0
D2026,2026-05-05 12:23:00,ON,-1
D2024,11-May-2026 13:07:00,ON,15116.8
D2015,2026-05-21 10:52:00,ON,26529.3
D2009,29/05/2026 09:38,ON,1338.3
D2022,2026-05-17T12:00:00,ON,0
D2027,2026-05-04T17:15:00,ON,62981.0
D2024,22-May-2026 17:23:00,ON,15689.2
D2005,2026-05-10T07:00:00,ON,36837.4
D2005,2026-05-11T07:38:00,ON,36875.0
D2014,14/05/2026 09:52,ON,78145.7
D9001,2026-05-24T11:07:00,ON,12149.3
D2023,09-May-2026 13:38:00,ON,76757.8
D9002,2026-05-26T08:38:00,ON,-1
D2023,12-May-2026 09:07:00,ON,76822.6
D2021,12/05/2026 17:07,ON,28618.7
D2010,2026-05-04 15:52:00,OFF,46638.8
D2021,20/05/2026 13:23,ON,28919.6
D2010,2026-05-11 09:07:00,OFF,46638.8
D2022,2026-05-27T07:23:00,ON,59020.8
D9002,2026-05-12T16:45:00,ON,0
D2014,09/05/2026 17:00,ON,77887.4
D2004,10-May-2026 13:52:00,ON,32617.7
D2025,11/05/2026 14:52,on,78383.2
D2026,2026-05-01 11:15:00,ON,13314.7
D2017,06/05/2026 13:15,ON,71548.4
D2006,15-May-2026 09:23:00,ON,59476.4
D2013,14/05/2026 07:23,ON,48191.0
D2009,22/05/2026 10:45,ON,899.3
D2028,2026-05-24T14:52:00,ON,47292.0
D2010,2026-05-01 17:45:00,OFF,46638.8
D2006,03-May-2026 07:00:00,ON,58661.1
D2004,10-May-2026 07:23:00,ON,32589.4
D2010,2026-05-19 15:52:00,OFF,9999999
D2009,06/05/2026 08:15,ON,53110.3
D2017,08/05/2026 07:23,ON,71581.9
D9002,2026-05-12T14:52:00,ON,66045.5
D2023,22-May-2026 15:07:00,ON,77075.8
D2010,2026-05-07 15:52:00,OFF,46638.8
D2027,2026-05-19T08:15:00,ON,63531.1
D2011,04/05/2026 11:23,OFF,30676.1
D2025,03/05/2026 11:23,ON,78080.2
D2019,26-May-2026 10:23:00,ON,0
D2017,26/05/2026 17:15,ON,71989.2
D2009,08/05/2026 07:15,ON,53229.8
D2021,08/05/2026 11:23,ON,28443.2
D2015,2026-05-08 07:52:00,ON,26250.8
D2028,2026-05-23T15:23:00,ON,47230.2
D2019,05-May-2026 13:45:00,on,18522.7
D2027,2026-05-09T17:23:00,ON,63172.6
D2012,23/05/2026 10:45,ON,57459.1
D2009,08/05/2026 17:45,ON,53282.5
D2015,2026-05-14 17:07:00,ON,26393.4
D2026,2026-05-27 11:07:00,ON,13817.4
D9001,2026-05-26T07:45:00,ON,12190.2
D2017,10/05/2026 15:00,ON,71638.3
D2007,2026-05-11T07:23:00,ON,
D2010,2026-05-04 13:00:00,OFF,46638.8
D2022,2026-05-01T09:45:00,ON,57978.6
D2020,2026-05-23 15:00:00,ON,10196.0
D2022,2026-05-05T10:07:00,ON,58143.7
D2028,2026-05-08T11:45:00,ON,46215.6
D2009,17/05/2026 15:07,ON,609.0
D2016,2026-05-22T13:15:00,ON,35130.3
D2010,2026-05-28 08:00:00,OFF,46638.8
D2015,2026-05-21 08:07:00,ON,26526.3
D2007,2026-05-03T15:07:00,ON,47934.9
D2010,2026-05-01 11:07:00,OFF,46638.8
D2011,26/05/2026 14:52,OFF,30676.1
D2028,2026-05-06T07:52:00,ON,46059.5
D2022,2026-05-13T07:00:00,ON,58452.0
D2025,23/05/2026 11:45,ON,78814.0
D2011,19/05/2026 08:00,OFF,30676.1
D2012,01/05/2026 17:52,ON,56841.2
D2028,2026-05-29T11:45:00,ON,47609.6
D2006,06-May-2026 12:45:00,ON,58886.0
D2017,25/05/2026 13:00,ON,71959.9
D2021,28/05/2026 08:52,ON,29213.8
D2015,2026-05-28 14:38:00,ON,26683.7
D2024,06-May-2026 07:45:00,ON,14842.4
D2019,29-May-2026 08:15:00,ON,19425.8
D9001,2026-05-13T17:15:00,ON,11877.9
D2023,19-May-2026 07:00:00,ON,76987.2
D2022,2026-05-14T09:38:00,ON,58502.5
D2016,2026-05-24T09:07:00,ON,35174.9
D2012,11/05/2026 11:00,ON,57114.3
D2013,24/05/2026 07:52,ON,48578.7
D2017,09/05/2026 11:45,ON,71609.4
D2018,13-May-2026 11:38:00,ON,77823.4
D2007,2026-05-08T17:15:00,ON,48158.0
D2027,2026-05-03T09:15:00,ON,62917.4
D2016,2026-05-27T13:52:00,ON,35263.5
D2019,02-May-2026 11:15:00,ON,18407.0
D2018,01-May-2026 16:38:00,ON,77097.9
D2022,2026-05-07T11:52:00,ON,58226.3
D2013,12/05/2026 13:07,ON,48132.9
D2016,2026-05-21T15:23:00,ON,35106.4
D2010,2026-05-16 11:15:00,OFF,46638.8
D2024,18-May-2026 10:15:00,ON,15458.2
D2015,2026-05-24 14:45:00,ON,26600.3
D2022,2026-05-05T15:23:00,ON,58160.7
D2017,22/05/2026 17:52,ON,71902.4
D2022,2026-05-27T11:52:00,on,9999999
D2007,2026-05-21T16:15:00,ON,48722.3
D2009,23/05/2026 11:52,ON,972.9
D2019,13-May-2026 17:38:00,ON,18841.0
D2011,16/05/2026 15:00,OFF,30676.1
D2022,2026-05-05T08:45:00,ON,0
D2014,28/05/2026 07:45,ON,78965.1
D2006,07-May-2026 09:15:00,ON,58937.1
D9002,2026-05-04T11:45:00,ON,65911.5
D2010,2026-05-23 13:07:00,OFF,46638.8
D2004,11-May-2026 15:07:00,ON,32672.6
D2022,2026-05-11T10:15:00,ON,58382.8
D2004,16-May-2026 08:52:00,ON,32894.6
D9001,2026-05-22T16:52:00,ON,12108.4
D2006,10-May-2026 11:07:00,ON,59154.6
D2010,2026-05-30 09:15:00,OFF,46638.8
D2006,07-May-2026 17:45:00,ON,58982.4
D2018,20-May-2026 11:52:00,on,78265.8
D2019,26-May-2026 15:00:00,ON,19332.4
D2024,27-May-2026 15:52:00,ON,15933.1
D2011,18/05/2026 16:07,OFF,30676.1
D2017,11/05/2026 15:38,on,71660.3
D2027,2026-05-15T11:07:00,ON,63389.9
D2022,2026-05-16T07:15:00,ON,58573.3
D2010,2026-05-04 07:15:00,OFF,46638.8
D2019,07-May-2026 07:15:00,ON,0
D2017,30/05/2026 12:15,ON,9999999
D2022,2026-05-09T12:52:00,ON,58309.1
D2005,2026-05-13T07:00:00,ON,36944.1
D2024,08-May-2026 17:00:00,ON,14982.6
D2012,16/05/2026 09:52,ON,57256.8
D2015,2026-05-15 08:15:00,on,26399.6
D2017,03/05/2026 13:38,ON,71483.9
D2017,15/05/2026 08:15,ON,71733.7
D2017,16/05/2026 09:15,ON,71758.8
D2010,2026-05-10 09:07:00,OFF,46638.8
D2005,2026-05-07T17:00:00,ON,36759.3
D2027,2026-05-08T16:52:00,ON,63134.5
D2005,2026-05-11T11:45:00,ON,36889.3
D2022,2026-05-04T16:00:00,ON,58126.1
D2025,20/05/2026 11:52,ON,0
D2015,2026-05-01 12:23:00,ON,26110.7
D2009,22/05/2026 13:00,ON,917.2
D2024,07-May-2026 07:52:00,ON,14889.7
D2009,03/05/2026 09:07,ON,52925.9
D2004,07-May-2026 07:38:00,ON,32442.4
D2020,2026-05-28 13:23:00,ON,10445.0
D9001,2026-05-18T17:23:00,ON,12007.3
D2024,08-May-2026 13:15:00,ON,14968.5
D2018,04-May-2026 07:00:00,ON,77233.6
D2028,2026-05-15T11:38:00,on,46684.5
D2011,09/05/2026 16:45,OFF,30676.1
D2010,2026-05-02 15:15:00,OFF,46638.8
D2027,2026-05-03T15:23:00,ON,62936.5
D2014,30/05/2026 10:15,ON,79100.2
D9002,2026-05-20T17:15:00,ON,66179.8
D2023,15-May-2026 14:45:00,ON,76905.9
D2008,28/05/2026 15:45,ON,638.6
D2013,20/05/2026 17:00,ON,48455.9
D2018,16-May-2026 17:00:00,ON,78044.6
D2028,2026-05-05T11:15:00,ON,46016.5
D2018,11-May-2026 07:23:00,ON,77676.2
D2020,2026-05-02 12:23:00,ON,9108.7
D2017,05/05/2026 07:23,ON,71517.1
D2026,2026-05-18 17:15:00,ON,13652.1
D2027,2026-05-03T17:45:00,ON,62942.8
D2009,30/05/2026 07:38,ON,1389.1
D2005,2026-05-07T11:07:00,ON,36741.8
D2023,25-May-2026 11:38:00,ON,77143.2
D2008,03/05/2026 14:15,ON,47632.5
D2014,25/05/2026 09:15,ON,78797.8
D9002,2026-05-09T15:52:00,ON,65997.6
D2011,12/05/2026 16:00,OFF,30676.1
D2015,2026-05-17 10:52:00,on,26445.0
D9002,2026-05-30T17:07:00,ON,66345.2
D2014,24/05/2026 14:23,ON,78766.2
D9002,2026-05-28T16:38:00,ON,66311.7
D2019,06-May-2026 08:52:00,ON,18545.9
D2024,24-May-2026 09:38:00,ON,15756.6
D2004,18-May-2026 11:23:00,ON,33009.7
D2010,2026-05-12 13:45:00,OFF,46638.8
D2006,13-May-2026 13:15:00,on,59363.4
D2025,15/05/2026 12:23,ON,78522.0
D2007,2026-05-13T10:15:00,ON,48349.9
D2008,22/05/2026 10:38,ON,0
